Book Title,Author / Translator,Abstract about Book,Category,Keywords,pISBN,eISBN,
Summary of the Sources of Obligation in Qatari Law,Gaber Mahgoub Ali,"The Qatari legislator organized the sources of obligation in (Articles 64-240 of the Civil Code). The sources of obligation are legal facts that result in the emergence of the obligation. They range from legal actions, to material facts.
The legal act is the direction of the will to produce a specific legal effect. The will may not have this effect unless it is linked to another will, and this is the contract and it is the most common and important source in creating an obligation. The contract raises many problems regarding its pillars and conditions, determining its effects and parties, and how it is annulled.
As for the unilateral will, it does not serve as a source of commitment except in the special cases determined by law, and its most prominent application is the promise of an award directed to the public.
As for material facts, they are either harmful acts that give rise to civil liability (for the personal act or for the act of others or for doing things) and result in an obligation to compensate the damage. Alternatively, they are beneficial actions represented in enrichment at the expense of others without reason and its applications are the delivery of the undeserved and leftovers.
Finally, the law comes as an exceptional source in the special cases in which the legislator directly addresses the creation of the obligation.",,,9789927139741,9789927139758,
"Post-Corona Pandemic’ Architecture, Urbanism and City
Inevitable Transformations and Future Prospects",Ali A. Alraouf,"The Corona pandemic forced us to experience the most
important crises of contemporary humanity and made us live
history literally. We are witnessing the writing of a chapter or
a new volume in the history of humanity. The book presents a
position that finds in the Corona pandemic an opportunity worth
reflecting on. Corona pandemic deserves praise as it offers
us a platform to revisit the logic of our relationship with life,
society, urbanization, and the city. The book calls for treating the
epidemic as a valuable opportunity to reformulate the approaches
of human relations with place from the level of public spaces to
the level of housing. It also discusses the concept of a new normal
and rethinking the concept of the forgotten normal rather than
returning to lifestyles that are shaped by environmental damage,
inequality, and consumption. The book looks forward to a new
era that has become inevitable, especially as its signs appear to us
with impressive acceleration. Architects and planners should be
aware of such new forces affecting the behavior of people around
the world. The corona virus simply calls on us to rehumanize our
.cities and we should seize this opportunity",,,978-9927-139-56-7,9789927139574,
"School-Based Interventions for Students
with Behavior Problems","Authored by: Julie Bowen, William R. Jenson, Elaine Clark.
Translated by: Taha Rabie Taha Adawi & Khaled Mahmoud Shehab","Many families suffer from various behavioral problems that appear among their
children of all ages. The effect of these problems is reflected in the family relationships
and building the personality of the youth, and the impact may extend to general
family cohesion. Teachers in schools also face similar problems that may impede the
educational process. The book in our hands represents a practical guide explaining the
most common behavioral problems in children and adolescents, as well as presenting
simple, clear and scientifically proven intervention programs for how to overcome these
problems. This book represents a great benefit for those interested in academics and
lecturers interested in the fields of psychological counseling in general and behavior
modification in particular, as it is the first book of its kind in the Arab region that
presents the techniques and methods of behavior modification by providing practical
examples and a comprehensive description of how to implement and evaluate them;
It also includes practical models attached at the end for each proposed intervention.
Thus a scientific book can be taught in university halls on the theoretical and practical
levels. The book represents an increasing importance for interested caregivers such as
parents, teachers in schools, and professionals in the behavior modification center. The
book, despite its academic language, took into account the simplification of terminology,
and the inclusion of margins, by translators, of terms that may seem specialized.",,,978-9927-107-85-6,9789927107863,
The Encyclopedia of Occidentalism,A group of researchers,"The College of Sharia and Islamic Studies at Qatar University celebrates the publication of the first four volumes of “The Encyclopedia of Occidentalism”, a project that was achieved through the joint collaboration of the ISESCO Chair in the Alliance of Civilizations, the Qatari Committee for the Alliance of Civilizations (QCAC), the Federation of the Universities of the Islamic World (FUIW), and Qatar University Press. The published parts comprise the first section of the encyclopedia which presents a conceptual study of the method of analysis and the basic terminology. This section deals with key topics that are handled in a scientific, realistic and comprehensive manner, that averts the existing estrangement between various disciplines of knowledge, and provides deep and solid methods of acculturation and dialogue with the civilized ‘other’.
“The Encyclopedia of Occidentalism” is the first of its kind and the largest intellectual encyclopedia in the Muslim world that focuses on the study of the West. Eighty- seven researchers from Arab, Muslim and Western countries in four continents collaborated in writing the entries of the first section only.
The encyclopedia offers a wider horizon for comprehensive and specific interdisciplinary studies in which the course of civilized dialogue is reinforced through sharing appropriate objective conditions to make it happen for civilized communication. Deconstructing Western knowledge and reinterpreting it is carried out according to objective facts, appropriate strict methods, and is presented without dazzling fascination or submissive dissension. This approach surpasses Eurocentricism and follows a more constructive dialogic line that sustains civilization for the benefit of all humanity.",,,9789927107962,9789927107955,
"International Competition in the Arabian Gulf
(1622-1763 AD)",Mustafa Aqeel,"This book is an authentic and impactful academic study that unveils a crucial era in the Arabian Gulf region’s history. The author, a Qatari historian, Dr. Mustafa Aqeel sheds light on the modern geopolitical history of the Arabian Gulf, and the international rivalry over it during the seventeenth and eighteenth centuries. This book could be considered a road map for explorers of roots and background of the Western presence in the region, and depicting the unparalleled steadfastness of the people of the Arabian Gulf, who are always defending their homelands with pride and glory. This is supported by documented evidence, proofs and facts, which varied between Arabic, Persian, English and Portuguese sources. The author provides adequate information and facts in a meticulous and balanced manner for readers interested in studying this historical era.
Being a reference and an essential resource for researchers and decision-makers interested in historical and political studies of the region, we have decided to reissue this book now due to the similarity of circumstances and the lessons learned. The work presents happenings and news of Hormuz, Magan, Oman and the entire coast, in addition to stating facts about greedy powers, through analysis, discussion, and viewpoints of an expert researcher. Qatar University Press is pleased to present this book to the readers, after it has been reviewed and prepared to harmonize with international publishing standards, hoping for everyone to benefit from it.",,,978-9927-107-97-9,978-9927-107-98-6,
Summary of Real and Personal Security in Qatari Law ,Gaber M. A. Mahgoub; Abdullah A. Abdullah; Tarek G. A. Rashed,"This publication includes two parts dedicated to real and personal security. If insurance is a personal guarantee, it guarantees the creditor to add the guarantor’s liability to the debtor, so that if the debtor is insolvent and unable to pay his debt or defaults, the creditor has the right to return against the guarantor. If the personal security is jointly established, the creditor has a larger guarantee that enables him to return directly against the guarantor without first returning against the debtor. If the insurance is in kind, the creditor has a right in kind to a certain debtor's money, under which he has priority over other ordinary creditors, and the creditors with the following in-kind insurance may require its right to the value of that money (immovable or movable) or any other money to replace it. The creditor has the right to trace this property if the debt is disbursed to another person, so that he can execute it and sell it under the hands of the person to which he is disposed of and acquire his right from such sale. ", Speciality / Law ,,9789927139666,9789927139673,
Qatari Business Law,,"Qatari Business Law is a clear and comprehensive statement of the legal rules applying to commercial activities in Qatar. The legal materials covered in the book are current as of 2022. The book is a valuable resource for students, practitioners, researchers and anyone engaged or interested in Qatar’s growing economic prosperity. The topics covered include: an introduction to law and the Qatari legal system; contract law; company law; intellectual property law; consumer protection law; the commercial code (including agency and franchising) and bankruptcy. This unique book is used as a teaching tool at both undergraduate and post-graduate levels, as well as a legal handbook for lawyers and businesspersons. ",,,9789927139680,9789927139697,
Introduction to Qatari Constitutional Law,,"Constitution is the supreme legislation in all countries of the world. It is above laws and regulations. This legislative document comprises the most important rules that regulate the regime, outlines the competencies of its public authorities, and emphasizes freedom, equality, and the sovereignty of the people and the law. However, reality in many countries may not be compatible with what is stated in their constitutions.
In order to understand the constitutional law of any country, it is necessary, in addition to studying and analyzing the constitutional and legal texts, to understand the reality surrounding these texts and study history and society of such state, in addition to taking into consideration the extent to which reality does not match the text.
This book provides us with an opportunity to learn about Qatari constitutional law, as it focuses primarily on its sources and formal characteristics. It also studies the political system of the state, and the rules governing the inheritance of power in it, the mechanism of popular participation in power. In addition, it highlights the stages of enacting laws in the State of Qatar and monitoring its constitutionality.
This book is an essential introduction for those who want to move towards wider horizons in constitutional studies related to the State of Qatar.",,,9789927139789,9789927139796,
The Legal Framework for Public Private Partnership (PPP) Projects in Qatar–A Comparative Analytical Study,"Yousef Abdulfattah A. Shafie
Reviewed by Dr. Mohamed Salem Abouelfarag ","Public – Private Partnership (PPP) has arisen among regional and international legislatures as a new complex contracting pattern in the fields of design, construction and building public-benefit projects. This study is meant to shed lights over PPP’s true nature, and to assess the clarity of the Qatari legal environment in governing this particular form of contracting. It is also meant to serve those who are looking to make a sensible judgment over the legal risks and benefits from entering into a PPP contract in Qatar. In addition, this study discusses the notion of whether PPP are truly novel contracts to Qatar legal system by cross checking a classic PPP contract against the specific agreements in Qatar’s Civil Code. We also examined the notion of whether a typical PPP contract would constitute a ‘public interests’ agreements (or ‘executive/administrative agreements’) or a non-public interest’s agreement (or ‘civil agreements’). We believe that this study has provided a more accurate analytical interpretation of what PPP is than the other attempts on this topic. ",,,9789927139642,9789927139659,
"Policy of Iran in the Arabian Gulf during the Reign of Nasser Al-Din Al-Qajari
 (1848-1896)",Mustafa Aqeel Al Khatib,"This book, by the Qatari historian Prof. Mustafa Aqeel, is an in-depth analytical study of a historical era of radical change within the Gulf region. It was an epoch of the most prominent Iranian leaders who carried out reforms, elected an elite of intellectuals who adopted a modern policy in governance and administration, enlightened by great approaches and personalities at the time; such as Jamal Al-Din Al-Afghani and others. 
The book explores the conflict on both sides of the Gulf, with an approach very similar to the current reality of the region. It also gives an overview of the history of Arab tribes and emirates that inhabited and ruled the Eastern Coast of the Gulf, tracing their origins and crossing points from the Arabian Peninsula, in addition to assessing the turbulent relations between them and Iran’s central government, especially the prominent Omani role in control and influence during that era. The author also sheds light on the attempts to control international navigation and shipping lines, and the subsequent wars and conflicts that the region witnessed between the great colonial powers at the time.
All of the above is presented in the book in detail through a deep analysis of the role played by people, whether Arabs or Iranians, with the internal conflicts that afflicted, especially after the Ottoman role in the region, and their presence close to the eastern coast of the Gulf. In the end, the author monitors the successes of the people of the Gulf in confronting all foreign aggressions and ambitions in the region. Therefore, the book is truly a qualitative addition to the historical library in the region and the world.
",,,9789927139888,9789927139949,
Vibrational Mechanics by Maple Practical Applications,"Mansour Nikkhah Bahrami,
Behzad Mohasel Afshari, Mohammad Khoshnevisan","The book “Vibrational Mechanics by Maple Practical Applications” is designed to assist undergraduate and postgraduate students majoring in physics, mechanical engineering, electromechanical and aerospace engineering in acquiring a more thorough knowledge of vibrational mechanics using the Maple programming language. Maple® is a powerful mathematical software for solving complex problems in the field of vibration. This book contains all the Maple worksheets for problems and some animations for each chapter. 

This book consists of five chapters, comprising all problems that are solved by the Maple programming language, preceded by an introduction to dynamics and Maple programming. In Chapters 1 and 2, vibrational systems with one degree of freedom for free vibration and force conditions are surveyed, respectively. In Chapter 3, vibrational systems in transient conditions are explored. Vibrational systems with more than one degree of freedom are discussed in Chapter 4, and in Chapter 5, vibration for continuous systems is studied.
",,,9789927167041,9789927167058,
History Taking in Medicine and Understanding Organs Talk,,,,,9789927139444,9789927139437,
Arabic Narrative History and Visualization: A study of selected models,Bouaita Said ,"This book seeks to rethink the problematic relationship between the novel and history; since this relationship raises many questions, most notably: does the novel adopt the historical event as a reference only to the narrative event? This question implicitly reveals several references: one related to the historical event, and another imaginary one associated with the narrative. In order to comprehend the relation between the historical and the narrative (imaginary), and include it within a critical problem concerning the question of the working modalities of this historical narrative text, as well as the nature of its imaginary forms, history remains a narrative component capable of diagnosis and interrogation outside those assumptions on which the possibilities of writing and reading are based on. It also gives the narrative text a feature related to its formal structure and gender characteristics. This book is not only theoretical, it also seeks to reveal the working methods of historical material through a group of Arabic novel texts. It clarifies the artistic and stylistic vision that established through each novelist (the subject of the book) his narrative worlds based on a special historical, and the extent of intersection or divergence between one novelist and another in employing this narrative/historical,whether structurally or functionally.",,,9789927139802,9789927139819,
Introduction to Aeronautical Engineering and Technology,"
Dr. Eng. Hayder F. Salman","Aeronautics is the science involved with the study, design and manufacture of flying objects within the atmosphere. There are four basic areas that aeronautical engineers must understand in order to be able to design planes. This book provides a detailed explanation of these areas and clarifies the design procedures, in addition to explaining the navigation devices and systems. 
The first field is aerodynamics. It is the study of how air flows around an aircraft, so that engineers can determine the proper fuselage shape. The body, tail, and wings affect the movement of air around flying objects.
Propulsion systems is the second field, which is the study of how to design the engines of flying objects that provide the thrust needed to take off and fly in the air. This study helps engineers determine a right type of engine and the right amount of power needed by flying objects. 
The third field is materials and structures, which focuses on the study of materials that should be used in the manufacture of flying objects and their engines. The choice of materials used to make the wings, tail and engine affects the strength and stability of an aircraft. 
Stability and control is the fourth field, which deals with the study of how to control speed, direction, altitude, and other conditions that affect the flying of an aircraft.
", Entries series / Engineering ,,,,
Dysphagia for Adults: The Role of Speech-Language Pathologists in Evaluation and Treatment,Nabil Zairi,"The risk associated with the increase in dysphagia patients in the world and the paramount importance that should be concerned with dysphagic patients is increasingly being recognized by the World Health Organization, prompted the writing this book, which is considered the first book in the Arab world.
The book aims to simplify the concepts of evaluating and treating of dysphagia from different points of view in hospitals by explaining the interventions provided by speech language pathologists for dysphagic patients to rule out risks factors, using clinical and instrumental assessment.
The book deals with the anatomical aspect of the swallow and its stages, as well as defines kinds and forms of bolus. 
The book identifies types of dysphagia, to describe risk factors, by clarifying the defensive mechanisms in the swallowing process for giving suitable therapy, training.
", Specialist / Medical  ,,9789927139956,9789927139963,
"The Basics of International Law 
(Qatar Version)","Math Noortmann
 Faisal M. Al-Hababi ","International law regulates the rules governing the relations between states among themselves or those to which international organizations are a party. A state must satisfy statehood criteria and other requirements in order for it to be considered as a subject of international law. In addition to states, intergovernmental organizations emerged as another subject of international law, which allows them, inter-alia, to conclude treaties and exchange diplomatic missions with states. International legal rules are mainly derived from sources such as customary law and treaties, in addition to other secondary sources such as principles of justice and equity, general principles of law, court rulings, international jurisprudence, and others. International custom is the traditional source of international law. It is represented in the progression of international behavior in a specific pattern accompanied by a sense of its obligation, that is, as a basis for a right or an obligation guaranteed by law. On the other hand, treaties are governed by the 1969 Vienna Convention on the Law of Treaties, which regulates treaty provisions from its making, through the principles guiding reservations and interpretation, to terminating or suspending them. Both treaties and norms regulate topics that concern the international community such as humanitarian law, human rights, diplomatic immunities, treaty law, state responsibility and settlement of disputes. ", Law ,,9789927139840,9789927139857,
"Principles of the Qatari Commercial Law: 
(Business - Merchant - Store)","Yassin Mohamed Sarwat Elshazly
Nazzal Mansour Kisswani
","The book focuses on defining Commercial Law, its scope and sources, commercial activities, merchants. It discusses the legal aspects of the store, its concept, nature and its material and moral elements. The State of Qatar established the first modern codification of commercial rules in 1971, and this is according to Law No. 16 of 1971 regarding the issuance of the Civil and Commercial Provisions Law, which is the first codification of civil and commercial law in the State of Qatar. This law regulates trade and commercial establishments in the second book (articles 209 to 245), the named commercial contracts in the third book (articles 246 to 349), commercial papers in the fourth book (articles 350 to 473), and finally, bankruptcy and protective composition in the fifth book (Articles 474 to 475). This interrelationship between the civil law and the commercial law persisted until the year 2006, when the Qatari Commercial Law No. 27 of 2006 was issued, which established provisions and rules that are independent from the texts of the civil law. In addition to the Commercial Law, many laws have been issued to regulate the various aspects of economic activity in the State of Qatar."," Educational /
Law ",,9789927139864,9789927139925,
"Qatar on the Arabian Gulf:
 A Search for Lost Times in Ancient History","Mohamed Hareb Farzat
Translated by 
Taoufik Kouki","This book discusses the history of Qatar and reveals the cultural value of its geographical history and civilizational relations. It also outlines Qatar’s relation with its neighboring regions, such as Mesopotamia and the Levant, while highlighting the correlation between these civilizations. The book also provides an insight about the natural and wild life in the State of Qatar, as well as the archaeological excavations that happened in the country during various historical eras, starting from the Stone Age to the Bronze Age. It also gives insightful information about Qatar’s ancient history, due to its geographical location as a link between civilizations of the ancient Gulf and as a maritime hub of copper and silk trade between the Gulf countries and India.
The research approach applied in the book required the investigation of names given to many – or all – regions in Qatar throughout history, based on historical and linguistic evidences. The purpose is to create a new understanding of Qatar’s history, from its special location at the heart of the Arabian Gulf to its cultural, civilizational, historical and Arab Islamic surroundings. Many criteria have been taken into consideration: Qatar’s authentic mother tongue (Arabic), high values, and idiosyncratic identity in this contemporary world. 
Furthermore, this book provides a review about the Arabian Peninsula within the history of the Ancient East. This requires thinking of and recreating a comprehensive vision through the publication of significant scientific studies and the outcomes of archaeological excavations in the Arabian Peninsula. This is in addition to a detailed presentation of Qatar’s important strategic location, due to its recent renaissance and natural resources, such as oil and gas, making this country the blend of a civilizational legacy and a thriving present.
", Translated / History ,,9789927139901,9789927139918,
Rights in Rem in the Qatari Civil Law ,"Farouk Mohamed  Ahmed Elabaseri
Mohammad Ammar MHD Borha Ghazal","This book explains the provisions of rights “in rem” in the Qatari civil law; which includes two types of financial rights, personal rights and real rights. The latter is divided into the original real rights and the subsidiary real rights. The original real rights are the subject of this book, and they are all derived from one source, which is the right of ownership as the real right. The original real rights represent this book’s topic, and they are all derived from one source, namely the right of ownership as the main real right from which the rest of the original real rights are branched, such as the right to usufruct, the right to easement, the right to monopoly, the right to use, and the right to housing. This book deals, in the first section, with the provisions of discrete property, the provisions of common property, and the rights subordinate to the property right. The second section deals with the sources of the original rights “in rem”– namely possession, appropriation, adhesion, and preemption."," Educational / 
Law ",,9789927167010,9789927167003,
Introduction to Qatari law,Mohammad Ammar MHD Borha Ghazal,"This book is the students' gateway to the science of law in all its categories, but it does not thoroughly go into details of any of them, because it is an informative introduction related to all law categories without any specification. However, the focus on civil law as the general legal code for many laws, necessitated a reference to some important details in Qatari Civil Code, especially with regard to basic topics, such as: the rules for applying the law in terms of place and time, the rules of the legal personality of a natural person and a legal person, and the theory of arbitrariness in using the right...etc.
As the Constitution of the State of Qatar focuses on the role of Islamic Sharia in all aspects of social life, considering it the main source of legislation, the first article of the Qatari Civil Code came to oblige the judge to rule according to Islamic Sharia in the absence of a legislative text. In addition, the Qatar Civil Code takes into account many general rules in Islamic jurisprudence, as well as several detailed provisions such as the provisions of gifts, missing or absent person, eligibility...etc. Therefore, the provisions of Islamic Sharia were clearly taken into consideration in writing of this book, so that students are aware of this matter and realize the importance of Islamic jurisprudence as one of the major legal systems in the world.
"," Educational / 
Law ",,9789927139970,9789927139987,
Universal Design for Learning,Khalid Rasheed Khader,"This book discusses the scientific origins of the Universal Design for Learning (UDL) framework and its contribution to building the emerging knowledge societies. It also discusses the dialectical relationship between contemporary education and knowledge societies by discussing the goals of UDL in building the lifelong expert learner, and the goals of knowledge societies in the production, dissemination and employment of knowledge in human development.
The book presents a comprehensive approach to modernizing the educational systems in Arab countries by discussing the universal design for learning within the following themes: 1) The foundations of brain-based education and the most prominent discoveries in neuroscience and their applications. 2) The educational and psychological foundations of the most prominent theories and their applications. 3) The architectural, technological and digital foundations and their applications in education 4) The three principles of the universal design for learning and their relationship to emotional, cognitive and strategic neural networks and their applications in providing multiple means of engagement, representation and expression in education. 
The book attempts to establish a scientific dialogue about reconstructing the educational systems in the Arab countries based on scientific foundations that build the education system on neurosciences, technology, and educational and psychological science. 
", College of Education / Educational ,,9789927139994,9789927167034,
Sport of Geopolitics,"
Pascal Boniface 
Translator: Ahmad Haji Safar ","Sport is more than just a sport. It is emotions, vibes but it is also geopolitics. As it is visible on a universal level, sport has become an essential element in the influence of states and of the actors who jostle each other on the international scene. It is the absolute weapon of soft power.

Accordingly, sport is the most obvious way to raise the flag of the country and to prove its presence on the world map in the eyes of others. Sport has become the new arena for legalized, peaceful confrontation between countries, at a time when globalization is blurring national identities. Sport unites and federates, and it is the surest way to unite a nation around a common project, in the hope of achieving victory or an accomplishment.", Translated / Culture ,,9789927139826,9789927139833,
"The Combating of Corruption Crimes in the Law of Qatar
In light of the United Nations Convention against Corruption
",Dr. Ayad Haroon Al-Douri,"This book is the first specialized book focusing on corruption crimes in Qatari law, using the descriptive, analytical and comparative approach. As a well-articulated and peer-reviewed textbook, it has been approved by the Qatar University’s College of Law as a teaching reference for the anti-corruption crime course.
The book comprises the latest relevant legislation issued up to the date of its publishing, and is reinforced by the rulings of both the Qatari Court of Cassation, and the comparative judiciary.
The book also stresses the level of compatibility between Qatari law and the United Nations Convention against Corruption of 2003. Comparisons and approaches are made between the relevant provisions of Qatari law and the provisions contained in the aforementioned UN Convention.
The book includes three chapters; the first chapter briefly dealt with the theoretical framework of the phenomenon of corruption; the second was the subject of detailed research on the legislative framework for corruption crimes, while the third briefly shed light on the institutional framework concerned with combating corruption in the State of Qatar.
", Educational / Law ,,,,
Specialty Portfolio in Radiation Oncology A global certification roadmap for trainers and trainees A global certification roadmap for trainers and trainees,"Benjamin Li, Soha Ahmed, Layth Mula-Hussain, Shada Wadi-Ramahi, Fabio Ynoe de Moraes","A Practical Guide to Upstream Petroleum Granting Instruments reviews the content and the effect of the various forms of granting instrument which are used worldwide for petroleum exploration and production. The guide begins with a general review of the use of granting instruments for the regulation of petroleum exploration and production activities (including consideration of the various forms of granting instrument and how they are awarded), and then goes into a clause-by-clause analysis of the terms of a production sharing contract (as the most widely used granting instrument worldwide, although the content of this analysis will also be relevant to the terms of other forms of granting instrument). The analysis of the production sharing contract’s terms also identifies and references a number of publicly-accessible production sharing contract examples for further illustration of the provisions which are discussed.",,,978-9927-139-33-8,978-9927-139-32-1,
The Principle of Abuse of Rights in International Law: The Gulf Crisis as an Example – An Empirical Study,A group of researchers,"The principle of “abuse of rights” is an early international law principle. Despite its significance in international law, taking into consideration the practice and the violations that may fall under it, the complexity of evidence required to rely on this principle reveals that international jurisdiction lacks the principle of abuse of rights in endorsing international responsibility. However, the principle of abuse of rights is fundamental in international law literature and is endorsed by many international conventions and provisions that emphasize the need to adhere to it, taking into account the consecutive events that are happening in the region. The international law literature also covers the adaptation to countries behaviors and the rights and duties of nations in compliance with international law. Therefore, to which extent the actions committed in creating the Gulf crisis and its aftermath, claiming the use of rights, became an abuse of rights? 
 
This book identifies the principle of abuse of rights, as a factor of international responsibility, and discusses the scope of rights as well as the duties that fall under international law. It also highlights the actions committed by nations – whether they are positive, taking the form of an act, or negative, refraining from doing an act – to prove if the international actions undertook in the context of the Gulf crisis fall under the abuse of rights.
",,,9789927139147, 978-9927-139-23-9,
A Practical Guide to Upstream Petroleum Granting Instruments,Peter Roberts ,"A Practical Guide to Upstream Petroleum Granting Instruments reviews the content and the effect of the various forms of granting instrument which are used worldwide for petroleum exploration and production.  
The guide begins with a general review of the use of granting instruments for the regulation of petroleum exploration and production activities (including consideration of the various forms of granting instrument and how they are awarded), and then goes into a clause-by-clause analysis of the terms of a production sharing contract (as the most widely used granting instrument worldwide, although the content of this analysis will also be relevant to the terms of other forms of granting instrument). 
The analysis of the production sharing contract’s terms also identifies and references a number of publicly-accessible production sharing contract examples for further illustration of the provisions which are discussed.  
",,,978-9927-139-17-8 ,978-9927-139-28-4 ,
Open a GLAM Lab (English),A group of researchers,"Defining a GLAM Lab: 
 A Galleries, Libraries, Archives and Museums (GLAM) Lab is a place for experimenting with digital collections and data. It is where researchers, artists, entrepreneurs, educators and the interested public can collaborate with an engaged group of partners to create new collections, tools, and services that will help transform the future ways in which knowledge and culture are disseminated. The exchanges and experimentation in a Lab are open, iterative and shared widely. This book describes why and how to open a GLAM Lab and encourages participation in a movement that can transform organisations and the communities they partner with.
 Building a GLAM Lab: 
 Building a GLAM Lab involves defining its core values to guide future work, fostering a culture that is open, transparent, generous, collaborative, creative, inclusive, bold, ethical, accessible and encourages a mindset of exploration. The Lab should be grounded in user-centred and participatory design processes and its staff should be able to clearly communicate what the Lab is about. It's important to think big but start small and establish quick wins to get up and running.
 GLAM Lab teams: 
 There are recommendations for the qualities and skills to look for in Labs teams, how to go about finding allies within and outside the institution, and ideas on how to create a nurturing environment for teams to thrive in. Labs teams have no optimal size or composition, and its team members can come from all walks of life. Teams need a healthy culture to ensure a well-functioning Lab which might be augmented intermittently by fellows, interns or researchers-inresidence. For a Lab to have lasting impact it must be integrated into the parent organisation and have the support of staff at all levels.
 User communities: 
 GLAM Labs will need to engage and connect with potential users and partners. This means rethinking these relationships to help establish clear and targeted messages for specific communities. In turn, this enables Labs to adjust their tools, services and collections to establish deeper partnerships based on co-creation, and open and equal dialogue.
 Rethinking collections and Data: 
 The book discusses the digital collections which are an integral part of Labs. It provides insights on how to share the collections as data, and how to identify, assess, describe, access, and reuse the collections. In addition, there is information about messy and curated data, digitisation, metadata, rights and preservation.
 Transformation: 
 Experimentation is the critical core of the Lab's process. Insights about how to transform tools into operational services are demonstrated. It shows that experimentation can prepare the organisational culture and services for transformation. There is an examination of funding and the advantages and disadvantages of various models through discussion of the different mechanisms and options that an organisation can apply to Lab set-ups.
 Funding and Sustainability: 
 We share insights on how to plan for a Lab's sustainability as well as a step-by-step guide for when an organisation is retiring or decommissioning a Lab.
 Labs have a pivotal role in the transformation of GLAMs and the book highlights the critical importance of Labs in changing the future of digital cultural heritage.",,,978-9927-139-11-6,,
Open a GLAM Lab (Arabic),A group of researchers,"Defining a GLAM Lab: 
 A Galleries, Libraries, Archives and Museums (GLAM) Lab is a place for experimenting with digital collections and data. It is where researchers, artists, entrepreneurs, educators and the interested public can collaborate with an engaged group of partners to create new collections, tools, and services that will help transform the future ways in which knowledge and culture are disseminated. The exchanges and experimentation in a Lab are open, iterative and shared widely. This book describes why and how to open a GLAM Lab and encourages participation in a movement that can transform organisations and the communities they partner with.
 Building a GLAM Lab: 
 Building a GLAM Lab involves defining its core values to guide future work, fostering a culture that is open, transparent, generous, collaborative, creative, inclusive, bold, ethical, accessible and encourages a mindset of exploration. The Lab should be grounded in user-centred and participatory design processes and its staff should be able to clearly communicate what the Lab is about. It's important to think big but start small and establish quick wins to get up and running.
 GLAM Lab teams: 
 There are recommendations for the qualities and skills to look for in Labs teams, how to go about finding allies within and outside the institution, and ideas on how to create a nurturing environment for teams to thrive in. Labs teams have no optimal size or composition, and its team members can come from all walks of life. Teams need a healthy culture to ensure a well-functioning Lab which might be augmented intermittently by fellows, interns or researchers-inresidence. For a Lab to have lasting impact it must be integrated into the parent organisation and have the support of staff at all levels.
 User communities: 
 GLAM Labs will need to engage and connect with potential users and partners. This means rethinking these relationships to help establish clear and targeted messages for specific communities. In turn, this enables Labs to adjust their tools, services and collections to establish deeper partnerships based on co-creation, and open and equal dialogue.
 Rethinking collections and Data: 
 The book discusses the digital collections which are an integral part of Labs. It provides insights on how to share the collections as data, and how to identify, assess, describe, access, and reuse the collections. In addition, there is information about messy and curated data, digitisation, metadata, rights and preservation.
 Transformation: 
 Experimentation is the critical core of the Lab's process. Insights about how to transform tools into operational services are demonstrated. It shows that experimentation can prepare the organisational culture and services for transformation. There is an examination of funding and the advantages and disadvantages of various models through discussion of the different mechanisms and options that an organisation can apply to Lab set-ups.
 Funding and Sustainability: 
 We share insights on how to plan for a Lab's sustainability as well as a step-by-step guide for when an organisation is retiring or decommissioning a Lab.
 Labs have a pivotal role in the transformation of GLAMs and the book highlights the critical importance of Labs in changing the future of digital cultural heritage.",,,978-9927-139-07-9,,
